physical_node_id,constraint_quality,front_node,side_node,top_node,top_x_error_px,top_depth_error_px,front_side_height_error_px,issue,quality_notes
P026,high_confidence,F012,S012,T013,17.335,-83.607,-2.176,top_x_mismatch top_depth_mismatch manual_coordinate_override,"manual front+side+top trace; reviewer edit: mirror of P052 moved onto head edge: (81.684, 36.417, 25.140) -> (82.174, 41.495, 14.838)"
P027,high_confidence,F007,S004,T010,16.784,17.619,-0.58,top_x_mismatch,manual front+side+top trace
P028,manual_partial,F005,,T007,7.915,,,no_visible_side_constraint,hidden side has no visible side-view constraint
P029,manual_partial,F039,S034,,,,-5.496,no_top_constraint,no top-view depth cross-check
P030,manual_partial,F037,S033,,,,-13.246,front_side_height_mismatch no_top_constraint,no top-view depth cross-check
P031,manual_partial,F035,S031,,,,-1.499,no_top_constraint,no top-view depth cross-check
P032,manual_partial,F032,S030,,,,-4.738,no_top_constraint,no top-view depth cross-check
P033,symmetry_traced,F018,,T026,11.406,,,no_visible_side_constraint manual_mirror_override,symmetry promoted; hidden side has no visible side-view constraint; reviewer edit: P033 forced to exact mirror of P001 across symmetry plane
P034,symmetry_traced,F025,,T034,7.118,,,no_visible_side_constraint manual_mirror_override,symmetry promoted; hidden side has no visible side-view constraint; iterative edit: F025/P034 forced to exact mirror of F026/P002 across symmetry plane
P035,heavy_estimate,F042,,,,,,no_visible_side_constraint source_depth_estimate no_top_constraint heavy_estimate,symmetry promoted; hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate
P037,heavy_estimate,F_EST_SYM005,,T_EST_SYM005,13.614,,,top_x_mismatch no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P038,heavy_estimate,F_EST_SYM006,,T_EST_SYM006,0.567,,,no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P039,heavy_estimate,F_EST_SYM007,,T_EST_SYM007,11.45,,,no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; reviewer edit: P039 forced to exact mirror of P009 across symmetry plane
P040,symmetry_traced,F030,,T031,15.374,,,top_x_mismatch no_visible_side_constraint manual_mirror_override,symmetry promoted; hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P041,moderate_estimate,F_EST_SYM009,,T029,20.438,,,top_x_mismatch no_visible_side_constraint estimated_projection manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P042,symmetry_traced,F040,,T037,14.163,,,top_x_mismatch no_visible_side_constraint manual_mirror_override,symmetry promoted; hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P043,moderate_estimate,F_EST_SYM011,,T028,22.116,,,top_x_mismatch no_visible_side_constraint estimated_projection manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P044,moderate_estimate,F_EST_SYM012,,T023,15.27,,,top_x_mismatch no_visible_side_constraint estimated_projection manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P045,heavy_estimate,F_EST_SYM013,,T_EST_SYM013,17.435,,,top_x_mismatch no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P046,heavy_estimate,F_EST_SYM014,,T_EST_SYM014,14.556,,,top_x_mismatch no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P047,heavy_estimate,F_EST_SYM015,,T_EST_SYM015,12.725,,,top_x_mismatch no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P048,heavy_estimate,F_EST_SYM016,,T_EST_SYM016,16.054,,,top_x_mismatch no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P049,heavy_estimate,F_EST_SYM017,,T_EST_SYM017,15.716,,,top_x_mismatch no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P050,heavy_estimate,F_EST_SYM018,,,,,,no_visible_side_constraint source_depth_estimate no_top_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source
P051,heavy_estimate,F_EST_SYM019,,T_EST_SYM019,4.321,,,no_visible_side_constraint estimated_projection heavy_estimate,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint
P052,heavy_estimate,F_EST_SYM020,,T_EST_SYM020,-6.74,,,no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override manual_coordinate_override,"symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source; reviewer edit: moved left ear endpoint onto head edge: (-81.684, 36.417, 25.140) -> (-82.174, 41.495, 14.838)"
P053,heavy_estimate,F_EST_SYM021,,T_EST_SYM021,-6.188,,,no_visible_side_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source
P054,heavy_estimate,F_EST_SYM022,,T_EST_SYM022,2.681,,,no_visible_side_constraint estimated_projection heavy_estimate,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint
P055,heavy_estimate,F_EST_SYM023,,,,,,no_visible_side_constraint source_depth_estimate no_top_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source
P056,heavy_estimate,F_EST_SYM024,,,,,,no_visible_side_constraint source_depth_estimate no_top_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source
P057,heavy_estimate,F_EST_SYM025,,,,,,no_visible_side_constraint source_depth_estimate no_top_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source
P058,heavy_estimate,F_EST_SYM026,,,,,,no_visible_side_constraint source_depth_estimate no_top_constraint estimated_projection heavy_estimate manual_mirror_override,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source
P060,heavy_estimate,,S029,,,,,manual_side_only_port_estimate no_front_constraint no_top_constraint x_estimated,manual side-only port placement: S029; x estimated at -20.0mm near S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane; side-view depth/height used directly
P062,heavy_estimate,,S019,,,,,manual_side_only_port_estimate no_front_constraint no_top_constraint x_estimated,manual side-only port placement: S019; x estimated at -60.0mm near S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane; side-view depth/height used directly
P063,heavy_estimate,,S020,,,,,manual_side_only_port_estimate no_front_constraint no_top_constraint x_estimated,"manual side-only port placement: S020; x estimated at -40.0mm near S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane; side-view depth/height used directly"
P064,heavy_estimate,,S011,,,,,manual_side_only_port_estimate no_front_constraint no_top_constraint x_estimated,manual side-only port placement: S011; x estimated at -50.0mm near S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane; side-view depth/height used directly
P065,heavy_estimate,,S009,,,,,manual_side_only_port_estimate no_front_constraint no_top_constraint x_estimated,manual side-only port placement: S009; x estimated at -20.0mm near S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane; side-view depth/height used directly
P066,heavy_estimate,,S007,,,,,manual_side_only_port_estimate no_front_constraint no_top_constraint x_estimated manual_coordinate_override,"manual side-only port placement: S007; x estimated at -74.0mm near former S013/P036 path removed; near S011/P064; side-view depth/height used directly; reviewer edit: mirror of P069 projected onto left head surface plane P064-P052-P054: (-74.000, 79.685, 50.275) -> (-54.945, 73.222, 32.900)"
P067,heavy_estimate,,S011_MIRROR,,,,,manual_side_only_mirror no_front_constraint no_top_constraint no_side_trace,"manual mirrored backside point for S011; source=P064; same y/z, opposite x"
P068,heavy_estimate,,S009_MIRROR,,,,,manual_side_only_mirror no_front_constraint no_top_constraint no_side_trace,"manual mirrored backside point for S009; source=P065; same y/z, opposite x"
P069,heavy_estimate,,S007_MIRROR,,,,,manual_side_only_mirror no_front_constraint no_top_constraint no_side_trace manual_coordinate_override,"manual mirrored backside point for S007; source=P066; same y/z, opposite x; reviewer edit: projected right ear edge node onto plane P067-P026-P028: (74.000, 79.685, 50.275) -> (54.945, 73.222, 32.900)"
P070,heavy_estimate,,S020_MIRROR,,,,,manual_side_only_mirror no_front_constraint no_top_constraint no_side_trace,"manual mirrored backside point for S020; source=P063; same y/z, opposite x"
P071,heavy_estimate,,S019_MIRROR,,,,,manual_side_only_mirror no_front_constraint no_top_constraint no_side_trace,"manual mirrored backside point for S019; source=P062; same y/z, opposite x"
P072,heavy_estimate,,S029_MIRROR,,,,,manual_side_only_mirror no_front_constraint no_top_constraint no_side_trace,"manual mirrored backside point for S029; source=P060; same y/z, opposite x"
P059,moderate_estimate,F027,,,,,,manual_midpoint_estimate no_visible_side_constraint no_top_constraint,iterative edit: F027 placed at midpoint of F026/P002 and F025/P034; no independent side/top constraint
