physical_node_id,row_source,candidate_status,source_physical_node_id,front_node,side_node,top_node,front_node_source,side_node_source,top_node_source,constraint_quality,constraint_risk,node_color,quality_notes,source_depth_estimated,depth_region,depth_percent,x_mm,y_mm_depth,z_mm_up,x_px,depth_px,z_y_px,front_x_px,side_depth_px,top_depth_as_side_px,front_y_px,side_y_as_front_y_px,notes
P021,manual_confirmed,,,F024,S024,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check,False,back/deep half,1.0,84.626,66.884,-36.674,684.31,2048.03,697.892,684.31,2048.03,,689.963,705.8215127733556,user reaffirmed F024 = S024
P022,manual_confirmed,,,F017,,T022,trace,,trace,manual_partial,2,#64748b,hidden side has no visible side-view constraint,False,front/shallow half,0.303,0.001,-26.302,0.658,439.4,1778.344,589.85,436.875,,1778.343916179728,589.85,,user confirmed F017 = T022; side mapping parked
P023,manual_confirmed,,,F010,,T018,trace,,trace,manual_partial,2,#64748b,hidden side has no visible side-view constraint,False,front/shallow half,0.436,0.0,-8.565,32.41,439.397,1829.677,497.957,436.748,,1829.6765052989535,497.957,,user confirmed F010 = T018; side mapping parked
P024,manual_confirmed,,,F003,,T003,trace,,trace,manual_partial,2,#64748b,hidden side has no visible side-view constraint,False,back/deep half,0.921,0.142,56.344,68.768,439.806,2017.527,392.736,437.041,,2017.527092565955,392.736,,user confirmed T003 = F003; side mapping parked
P025,manual_confirmed,,,F002,,T008,trace,,trace,manual_partial,2,#64748b,hidden side has no visible side-view constraint,False,back/deep half,0.816,101.277,42.283,75.26,732.498,1976.834,373.948,729.361,,1976.8338379036438,373.948,,user confirmed F002 = T008; side mapping parked
P026,manual_confirmed,,,F012,S012,T013,trace,trace,trace,manual_partial,2,#64748b,"manual front+side+top trace; reviewer edit: mirror of P052 moved onto head edge: (81.684, 36.417, 25.140) -> (82.174, 41.495, 14.838)",False,back/deep half,0.604,82.174,41.495,14.838,675.795,1959.857,518.997,667.128,2001.661,1918.0535421441555,520.085,517.9090413390112,"user confirmed T013 = F012 = S012; reviewer edit: mirror of P052 moved onto head edge: (81.684, 36.417, 25.140) -> (82.174, 41.495, 14.838)"
P027,manual_confirmed,,,F007,S004,T010,trace,trace,trace,high_confidence,0,#16a34a,manual front+side+top trace,False,back/deep half,0.713,41.37,28.466,57.726,559.125,1936.845,424.692,550.733,1928.035,1945.6542219412931,424.982,424.4022463401745,user confirmed S004 = F007 = T010
P028,manual_confirmed,,,F005,,T007,trace,,trace,manual_partial,2,#64748b,hidden side has no visible side-view constraint,False,back/deep half,0.836,37.198,44.938,62.884,547.05,1984.515,409.765,543.093,,1984.5153097164234,409.765,,user confirmed T007 = F005; side mapping parked
P029,manual_confirmed,,,F039,S034,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check,False,back/deep half,0.58,39.743,10.71,-94.287,554.417,1885.458,864.629,554.417,1885.458,,867.377,861.8810044384213,user confirmed S034 = F039
P030,manual_confirmed,,,F037,S033,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check,False,front/shallow half,0.415,43.159,-11.336,-83.497,564.301,1821.655,833.401,564.301,1821.655,,840.024,826.7783772381355,user confirmed S033 = F037
P031,manual_confirmed,,,F035,S031,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check,False,back/deep half,0.939,59.297,58.675,-78.085,611.005,2024.271,817.739,611.005,2024.271,,818.488,816.9892165363142,user confirmed F035 = S031
P032,manual_confirmed,,,F032,S030,,trace,trace,,manual_partial,2,#64748b,no top-view depth cross-check,False,back/deep half,0.76,61.717,34.799,-70.569,618.01,1955.173,795.985,618.01,1955.173,,798.354,793.61628826243,user confirmed S030 = F032
P033,symmetry_promoted,ready_for_review,P001,F018,,T026,trace,,trace,symmetry_traced,1,#2563eb,symmetry promoted; hidden side has no visible side-view constraint; reviewer edit: P033 forced to exact mirror of P001 across symmetry plane,False,front/shallow half,0.214,-13.078,-38.322,-15.245,401.545,1743.558,635.874,395.842,,1756.276828934975,635.267,,symmetry promoted from SYM001; source=P001; candidate_status=ready_for_review; side projection intentionally omitted for hidden-side mirror; reviewer edit: P033 forced to exact mirror of P001 across symmetry plane
P034,symmetry_promoted,ready_for_review,P002,F025,,T034,trace,,trace,symmetry_traced,1,#2563eb,symmetry promoted; hidden side has no visible side-view constraint; iterative edit: F025/P034 forced to exact mirror of F026/P002 across symmetry plane,False,front/shallow half,0.003,-13.477,-66.517,-48.345,399.085,1661.96,731.668,395.526,,1685.0897269898371,729.785,,symmetry promoted from SYM002; source=P002; candidate_status=ready_for_review; side projection intentionally omitted for hidden-side mirror; iterative edit: F025/P034 forced to exact mirror of F026/P002 across symmetry plane
P035,symmetry_promoted,ready_for_review,P005,F042,,,trace,,,heavy_estimate,4,#dc2626,symmetry promoted; hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate,True,front/shallow half,0.2,-20.978,-40.174,-110.0,378.685,1738.196,910.102,378.685,,,910.102,,symmetry promoted from SYM003; source=P005; candidate_status=ready_for_review; side projection intentionally omitted for hidden-side mirror
P037,symmetry_promoted,needs_manual_trace_or_estimate,P007,F_EST_SYM005,,T_EST_SYM005,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,back/deep half,0.88,-100.678,50.875,110.0,148.027,2001.699,273.408,141.22,,2018.0748449074613,275.108,,symmetry promoted from SYM005; source=P007; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P038,symmetry_promoted,needs_manual_trace_or_estimate,P008,F_EST_SYM006,,T_EST_SYM006,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,back/deep half,0.62,-46.45,16.08,43.175,304.967,1901.0,466.805,304.683,,1909.8156919687435,468.122,,symmetry promoted from SYM006; source=P008; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P039,symmetry_promoted,needs_manual_trace_or_estimate,P009,F_EST_SYM007,,T_EST_SYM007,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; reviewer edit: P039 forced to exact mirror of P009 across symmetry plane,False,front/shallow half,0.384,-27.005,-15.535,31.183,361.241,1809.503,501.509,355.516,,1832.6636964149172,498.842,,symmetry promoted from SYM007; source=P009; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; reviewer edit: P039 forced to exact mirror of P009 across symmetry plane
P040,symmetry_promoted,ready_for_review,P011,F030,,T031,trace,,trace,symmetry_traced,1,#2563eb,symmetry promoted; hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.053,-20.519,-59.814,-55.058,379.223,1681.358,751.096,371.536,,1689.2103772817684,752.099,,symmetry promoted from SYM008; source=P011; candidate_status=ready_for_review; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P041,symmetry_promoted,partial_trace_match,P012,F_EST_SYM009,,T029,symmetry_estimate,,trace,moderate_estimate,3,#f59e0b,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.117,-42.611,-51.213,-61.676,315.836,1706.249,770.248,305.617,,1705.3013570903693,771.784,,symmetry promoted from SYM009; source=P012; candidate_status=partial_trace_match; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P042,symmetry_promoted,ready_for_review,P013,F040,,T037,trace,,trace,symmetry_traced,1,#2563eb,symmetry promoted; hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.082,-27.003,-55.85,-96.386,362.655,1692.83,870.702,355.574,,1671.6322714310304,873.351,,symmetry promoted from SYM010; source=P013; candidate_status=ready_for_review; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P043,symmetry_promoted,partial_trace_match,P014,F_EST_SYM011,,T028,symmetry_estimate,,trace,moderate_estimate,3,#f59e0b,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.265,-55.045,-31.401,-53.353,281.81,1763.586,746.162,270.752,,1750.217911696012,744.471,,symmetry promoted from SYM011; source=P014; candidate_status=partial_trace_match; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P044,symmetry_promoted,partial_trace_match,P015,F_EST_SYM012,,T023,symmetry_estimate,,trace,moderate_estimate,3,#f59e0b,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.25,-22.231,-33.475,-25.737,375.679,1757.586,666.239,368.044,,1763.0560189379657,665.552,,symmetry promoted from SYM012; source=P015; candidate_status=partial_trace_match; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P045,symmetry_promoted,needs_manual_trace_or_estimate,P016,F_EST_SYM013,,T_EST_SYM013,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.444,-68.285,-7.531,8.451,241.775,1832.669,567.299,233.057,,1837.9255693018297,567.084,,symmetry promoted from SYM013; source=P016; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P046,symmetry_promoted,needs_manual_trace_or_estimate,P017,F_EST_SYM014,,T_EST_SYM014,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.358,-69.376,-19.025,-30.945,238.618,1799.403,681.313,231.34,,1790.554049083703,681.37,,symmetry promoted from SYM014; source=P017; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P047,symmetry_promoted,needs_manual_trace_or_estimate,P018,F_EST_SYM015,,T_EST_SYM015,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.359,-52.637,-18.912,-16.89,287.061,1799.729,640.636,280.699,,1799.2775442485138,640.419,,symmetry promoted from SYM015; source=P018; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P048,symmetry_promoted,needs_manual_trace_or_estimate,P019,F_EST_SYM016,,T_EST_SYM016,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.314,-29.307,-24.847,0.593,354.582,1782.554,590.038,346.555,,1791.3510934357535,588.1,,symmetry promoted from SYM016; source=P019; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P049,symmetry_promoted,needs_manual_trace_or_estimate,P020,F_EST_SYM017,,T_EST_SYM017,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,front/shallow half,0.537,-82.229,4.96,-31.249,201.422,1868.817,682.192,193.564,,1836.6584067984077,682.235,,symmetry promoted from SYM017; source=P020; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P050,symmetry_promoted,needs_manual_trace_or_estimate,P021,F_EST_SYM018,,,symmetry_estimate,,,heavy_estimate,4,#dc2626,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,True,back/deep half,1.0,-84.626,66.884,-36.674,189.186,2048.03,697.892,189.186,,,689.963,,symmetry promoted from SYM018; source=P021; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P051,symmetry_promoted,needs_manual_trace_or_estimate,P025,F_EST_SYM019,,T_EST_SYM019,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint,False,back/deep half,0.816,-101.277,42.283,75.26,146.295,1976.834,373.948,144.135,,1976.8338379036438,373.948,,symmetry promoted from SYM019; source=P025; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror
P052,symmetry_promoted,needs_manual_trace_or_estimate,P026,F_EST_SYM020,,T_EST_SYM020,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,"symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source; reviewer edit: moved left ear endpoint onto head edge: (-81.684, 36.417, 25.140) -> (-82.174, 41.495, 14.838)",False,back/deep half,0.604,-82.174,41.495,14.838,202.998,1959.857,518.997,206.368,,1918.0535421441555,520.085,,"symmetry promoted from SYM020; source=P026; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source; reviewer edit: moved left ear endpoint onto head edge: (-81.684, 36.417, 25.140) -> (-82.174, 41.495, 14.838)"
P053,symmetry_promoted,needs_manual_trace_or_estimate,P027,F_EST_SYM021,,T_EST_SYM021,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint; symmetry enforcement: estimated mirror forced from reviewed source,False,back/deep half,0.713,-41.37,28.466,57.726,319.669,1936.845,424.692,322.763,,1945.6542219412931,424.982,,symmetry promoted from SYM021; source=P027; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P054,symmetry_promoted,needs_manual_trace_or_estimate,P028,F_EST_SYM022,,T_EST_SYM022,symmetry_estimate,,symmetry_estimate,heavy_estimate,4,#dc2626,symmetry promoted; 2 estimated projection(s); hidden side has no visible side-view constraint,False,back/deep half,0.836,-37.198,44.938,62.884,331.743,1984.515,409.765,330.403,,1984.5153097164234,409.765,,symmetry promoted from SYM022; source=P028; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror
P055,symmetry_promoted,needs_manual_trace_or_estimate,P029,F_EST_SYM023,,,symmetry_estimate,,,heavy_estimate,4,#dc2626,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,True,back/deep half,0.58,-39.743,10.71,-94.287,319.079,1885.458,864.629,319.079,,,867.377,,symmetry promoted from SYM023; source=P029; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P056,symmetry_promoted,needs_manual_trace_or_estimate,P030,F_EST_SYM024,,,symmetry_estimate,,,heavy_estimate,4,#dc2626,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,True,front/shallow half,0.415,-43.159,-11.336,-83.497,309.195,1821.655,833.401,309.195,,,840.024,,symmetry promoted from SYM024; source=P030; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P057,symmetry_promoted,needs_manual_trace_or_estimate,P031,F_EST_SYM025,,,symmetry_estimate,,,heavy_estimate,4,#dc2626,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,True,back/deep half,0.939,-59.297,58.675,-78.085,262.491,2024.271,817.739,262.491,,,818.488,,symmetry promoted from SYM025; source=P031; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P058,symmetry_promoted,needs_manual_trace_or_estimate,P032,F_EST_SYM026,,,symmetry_estimate,,,heavy_estimate,4,#dc2626,symmetry promoted; 1 estimated projection(s); hidden side has no visible side-view constraint; no top-view depth cross-check; depth estimated from symmetric source mate; symmetry enforcement: estimated mirror forced from reviewed source,True,back/deep half,0.76,-61.717,34.799,-70.569,255.486,1955.173,795.985,255.486,,,798.354,,symmetry promoted from SYM026; source=P032; candidate_status=needs_manual_trace_or_estimate; side projection intentionally omitted for hidden-side mirror; symmetry enforcement: estimated mirror forced from reviewed source
P060,manual_side_only_port_estimate,manual_side_only,S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane,,S029,,,trace_side_only,,heavy_estimate,4,#dc2626,manual side-only port placement: S029; x estimated at -20.0mm near S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane; side-view depth/height used directly,False,back/deep half,1.163,-20.0,88.632,-66.699,,2110.969,784.785,,2110.969,,,784.785,manual side-only port placement: S029; x estimated at -20.0mm near S024/P050 and S031/P057; reviewer moved S029 halfway toward symmetry plane; side-view depth/height used directly
P062,manual_side_only_port_estimate,manual_side_only,S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane,,S019,,,trace_side_only,,heavy_estimate,4,#dc2626,manual side-only port placement: S019; x estimated at -60.0mm near S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane; side-view depth/height used directly,False,back/deep half,1.255,-60.0,101.002,-19.332,,2146.77,647.704,,2146.77,,,647.704,manual side-only port placement: S019; x estimated at -60.0mm near S024/P050 and S029/P060; reviewer moved S019 halfway toward symmetry plane; side-view depth/height used directly
P063,manual_side_only_port_estimate,manual_side_only,"S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane",,S020,,,trace_side_only,,heavy_estimate,4,#dc2626,"manual side-only port placement: S020; x estimated at -40.0mm near S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane; side-view depth/height used directly",False,back/deep half,1.342,-40.0,112.679,-21.822,,2180.565,654.908,,2180.565,,,654.908,"manual side-only port placement: S020; x estimated at -40.0mm near S029/P060, S019/P062, S011/P064; reviewer moved S020 halfway toward symmetry plane; side-view depth/height used directly"
P064,manual_side_only_port_estimate,manual_side_only,S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane,,S011,,,trace_side_only,,heavy_estimate,4,#dc2626,manual side-only port placement: S011; x estimated at -50.0mm near S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane; side-view depth/height used directly,False,back/deep half,1.232,-50.0,97.93,29.133,,2137.878,507.442,,2137.878,,,507.442,manual side-only port placement: S011; x estimated at -50.0mm near S007/P066 and S019/P062; reviewer moved S011 halfway toward symmetry plane; side-view depth/height used directly
P065,manual_side_only_port_estimate,manual_side_only,S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane,,S009,,,trace_side_only,,heavy_estimate,4,#dc2626,manual side-only port placement: S009; x estimated at -20.0mm near S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane; side-view depth/height used directly,False,back/deep half,1.289,-20.0,105.568,30.809,,2159.984,502.593,,2159.984,,,502.593,manual side-only port placement: S009; x estimated at -20.0mm near S020/P063 and S011/P064; reviewer moved S009 halfway toward symmetry plane; side-view depth/height used directly
P066,manual_side_only_port_estimate,manual_side_only,former S013/P036 path removed; near S011/P064,,S007,,,trace_side_only,,heavy_estimate,4,#dc2626,"manual side-only port placement: S007; x estimated at -74.0mm near former S013/P036 path removed; near S011/P064; side-view depth/height used directly; reviewer edit: mirror of P069 projected onto left head surface plane P064-P052-P054: (-74.000, 79.685, 50.275) -> (-54.945, 73.222, 32.900)",False,back/deep half,0.78,-54.945,73.222,32.9,,2085.077,446.257,,2085.077,,,446.257,"manual side-only port placement: S007; x estimated at -74.0mm near former S013/P036 path removed; near S011/P064; side-view depth/height used directly; reviewer edit: mirror of P069 projected onto left head surface plane P064-P052-P054: (-74.000, 79.685, 50.275) -> (-54.945, 73.222, 32.900)"
P067,manual_side_only_mirror_estimate,manual_mirror_of_side_only,P064,,S011_MIRROR,,,manual_mirror,,heavy_estimate,4,#dc2626,"manual mirrored backside point for S011; source=P064; same y/z, opposite x",True,back/deep half,1.232,50.0,97.93,29.133,,2137.878,507.442,,2137.878,,,507.442,"manual mirrored backside point for S011; source=P064; same y/z, opposite x"
P068,manual_side_only_mirror_estimate,manual_mirror_of_side_only,P065,,S009_MIRROR,,,manual_mirror,,heavy_estimate,4,#dc2626,"manual mirrored backside point for S009; source=P065; same y/z, opposite x",True,back/deep half,1.289,20.0,105.568,30.809,,2159.984,502.593,,2159.984,,,502.593,"manual mirrored backside point for S009; source=P065; same y/z, opposite x"
P069,manual_side_only_mirror_estimate,manual_mirror_of_side_only,P066,,S007_MIRROR,,,manual_mirror,,heavy_estimate,4,#dc2626,"manual mirrored backside point for S007; source=P066; same y/z, opposite x; reviewer edit: projected right ear edge node onto plane P067-P026-P028: (74.000, 79.685, 50.275) -> (54.945, 73.222, 32.900)",True,back/deep half,0.78,54.945,73.222,32.9,,2085.077,446.257,,2085.077,,,446.257,"manual mirrored backside point for S007; source=P066; same y/z, opposite x; reviewer edit: projected right ear edge node onto plane P067-P026-P028: (74.000, 79.685, 50.275) -> (54.945, 73.222, 32.900)"
